Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	Y:\MS-data\2025\Jesus\dox\A1_20250325224911.mzML	Y:\MS-data\2025\Jesus\dox\A2.mzML	Y:\MS-data\2025\Jesus\dox\A3.mzML	Y:\MS-data\2025\Jesus\dox\A4.mzML	Y:\MS-data\2025\Jesus\dox\A5.mzML	Y:\MS-data\2025\Jesus\dox\B1.mzML	Y:\MS-data\2025\Jesus\dox\B2.mzML	Y:\MS-data\2025\Jesus\dox\B3.mzML	Y:\MS-data\2025\Jesus\dox\B4.mzML	Y:\MS-data\2025\Jesus\dox\B5.mzML	Y:\MS-data\2025\Jesus\dox\C1.mzML	Y:\MS-data\2025\Jesus\dox\C2.mzML	Y:\MS-data\2025\Jesus\dox\C3.mzML	Y:\MS-data\2025\Jesus\dox\C4.mzML	Y:\MS-data\2025\Jesus\dox\C5.mzML	Y:\MS-data\2025\Jesus\dox\D1.mzML	Y:\MS-data\2025\Jesus\dox\D2.mzML	Y:\MS-data\2025\Jesus\dox\D3.mzML	Y:\MS-data\2025\Jesus\dox\D4.mzML	Y:\MS-data\2025\Jesus\dox\D5.mzML	Y:\MS-data\2025\Jesus\dox\E1.mzML	Y:\MS-data\2025\Jesus\dox\E2.mzML	Y:\MS-data\2025\Jesus\dox\E3.mzML	Y:\MS-data\2025\Jesus\dox\E5.mzML	Y:\MS-data\2025\Jesus\dox\F1_20250325184234.mzML	Y:\MS-data\2025\Jesus\dox\F2.mzML	Y:\MS-data\2025\Jesus\dox\F3.mzML	Y:\MS-data\2025\Jesus\dox\F4.mzML	Y:\MS-data\2025\Jesus\dox\F5.mzML	Y:\MS-data\2025\Jesus\dox\G1.mzML	Y:\MS-data\2025\Jesus\dox\G2.mzML	Y:\MS-data\2025\Jesus\dox\G3.mzML	Y:\MS-data\2025\Jesus\dox\G4.mzML	Y:\MS-data\2025\Jesus\dox\G5.mzML	Y:\MS-data\2025\Jesus\dox\H1.mzML	Y:\MS-data\2025\Jesus\dox\H2.mzML	Y:\MS-data\2025\Jesus\dox\H3.mzML	Y:\MS-data\2025\Jesus\dox\H4.mzML	Y:\MS-data\2025\Jesus\dox\H5.mzML
P49888	ST1E1_HUMAN	SULT1E1	Sulfotransferase 1E1	3	3	167520		448124									559472			51845.9			57709.1																					
P49902	5NTC_HUMAN	NT5C2	Cytosolic purine 5'-nucleotidase	15	15	9.02642e+06	9.94702e+06	7.81427e+06	8.18062e+06	1.08426e+07	1.07724e+07	1.09103e+07	1.04039e+07	9.65366e+06	9.6946e+06	1.17921e+07	1.08814e+07	1.11556e+07	1.27137e+07	1.06241e+07	1.15004e+07	1.15629e+07	1.10468e+07	1.20683e+07	1.19698e+07	1.29113e+07	1.33584e+07	1.32617e+07	1.35444e+07	1.24378e+07	1.26581e+07	1.25696e+07	1.6064e+07	1.2457e+07	1.21498e+07	1.24326e+07	1.24227e+07	1.30855e+07	1.24183e+07	1.195e+07	1.17057e+07	1.29928e+07	1.23615e+07	1.19785e+07
P49903	SPS1_HUMAN	SEPHS1	Selenide, water dikinase 1	7	7	6.73985e+06	6.14672e+06	5.19372e+06	7.62514e+06	6.05179e+06	6.30636e+06	6.07198e+06	5.4195e+06	5.89507e+06	5.98481e+06	6.5532e+06	5.66706e+06	6.00866e+06	7.79394e+06	6.01994e+06	5.51742e+06	5.78156e+06	5.77212e+06	5.49267e+06	6.54933e+06	4.48532e+06	4.378e+06	4.92814e+06	5.47624e+06	4.49762e+06	3.99458e+06	4.49446e+06	2.86316e+06	6.70213e+06	4.15282e+06	3.61866e+06	4.06933e+06	4.80037e+06	3.93947e+06	4.01717e+06	3.7177e+06	4.76691e+06	5.2812e+06	4.72805e+06
P49914	MTHFS_HUMAN	MTHFS	5-formyltetrahydrofolate cyclo-ligase	5	5	176071	151329	116542	151067	122922	161359	164107	109346	141254	150186	169910	201989	154635		102961	189234	140744	150288	170377	127647	144833	166981	138275	98139.9	118255	170410	115567	160682	165013	143261	165788	136955	162061	132847	100055	190665	193103	173052	132546
P49915	GUAA_HUMAN	GMPS	GMP synthase [glutamine-hydrolyzing]	28	28	5.87128e+06	5.66592e+06	5.59314e+06	6.78311e+06	4.99097e+06	4.75182e+06	5.05203e+06	4.96734e+06	5.75672e+06	6.04261e+06	5.10355e+06	5.721e+06	5.13395e+06	4.64674e+06	5.5113e+06	4.74155e+06	4.77549e+06	4.86561e+06	5.29153e+06	5.18588e+06	3.71569e+06	3.86478e+06	4.27921e+06	4.05416e+06	4.24399e+06	3.80998e+06	3.90238e+06	2.59343e+06	4.17025e+06	3.51588e+06	3.40834e+06	3.77614e+06	4.03176e+06	3.48176e+06	3.84593e+06	3.1892e+06	3.68907e+06	4.3802e+06	4.1611e+06
P49916	DNLI3_HUMAN	LIG3	DNA ligase 3	34	34	4.09822e+06	4.68331e+06	4.22607e+06	4.76439e+06	3.91043e+06	4.00682e+06	4.05887e+06	3.79866e+06	4.07413e+06	4.26349e+06	4.03798e+06	4.71281e+06	3.71543e+06	3.29628e+06	3.84394e+06	3.58373e+06	3.31348e+06	3.37524e+06	4.50457e+06	3.39692e+06	3.47154e+06	3.63658e+06	3.72143e+06	3.64548e+06	3.72879e+06	3.38035e+06	3.37968e+06	2.93469e+06	2.54888e+06	3.32005e+06	3.19602e+06	3.40912e+06	3.89199e+06	3.19027e+06	3.45244e+06	3.16889e+06	3.34256e+06	3.28964e+06	3.23277e+06
P49917	DNLI4_HUMAN	LIG4	DNA ligase 4	14	14	334696	384417	344520	363085	358885	305304	354620	319722	429090	420786	259120	343177	347993		403456	329992	289757	399525	337870	335241	209643	240551	259249	232090	297370	200167	155202	350802	190228	213810	179616	233007	254995	249662	237833	156694	190782	310009	242595
P49918	CDN1C_HUMAN	CDKN1C	Cyclin-dependent kinase inhibitor 1C	8	8	91584.6	77215.2	59839.1	81291.4	82722.8	80861.4	84705.8	70622.8	78832	71917	66782.4	90576	70078.8		89436.3	69509.9	69328.6	70723.6	81417.3	83156.1	64569.3	65253.3	61752.9	64133.5	59759.6	46583.9	62821.9		62485.2	52622.9	59705.7	47564.4	57628.8	44243.9	55189.2	52800	64088.5	74346	86421.6
P49959	MRE11_HUMAN	MRE11	Double-strand break repair protein MRE11	22	22	4.69804e+06	4.6615e+06	5.11742e+06	5.19611e+06	3.57577e+06	3.66256e+06	3.59928e+06	3.52566e+06	4.43039e+06	4.85495e+06	3.48489e+06	4.58028e+06	3.67948e+06	2.40088e+06	3.95176e+06	3.2067e+06	2.62105e+06	2.7055e+06	3.66374e+06	2.96525e+06	2.36716e+06	2.44642e+06	2.39643e+06	2.7553e+06	2.70295e+06	2.23264e+06	2.22536e+06	2.29584e+06	1.67533e+06	2.05452e+06	1.93586e+06	2.13564e+06	2.09721e+06	1.8775e+06	1.99728e+06	2.08537e+06	2.27661e+06	1.68967e+06	2.48291e+06
P50135	HNMT_HUMAN	HNMT	Histamine N-methyltransferase	7	7	1.34129e+06	1.49628e+06	1.5291e+06	2.09717e+06	827475	997170	917815	1.22214e+06	1.22396e+06	1.26874e+06	1.06749e+06	1.2166e+06	1.18512e+06		1.02856e+06	854575	625543	856568	832312	722193									484392		446520								681790
P50148	GNAQ_HUMAN	GNAQ	Guanine nucleotide-binding protein G(q) subunit alpha	17	12	1.94394e+07	2.41978e+07	1.09043e+07	1.43041e+07	2.61868e+07	2.40486e+07	2.29582e+07	2.6273e+07	2.31613e+07	1.573e+07	2.56894e+07	1.98883e+07	2.70822e+07	3.32846e+07	2.35802e+07	2.74538e+07	2.89307e+07	2.49849e+07	2.69938e+07	2.93298e+07	4.30907e+07	3.94157e+07	3.51172e+07	4.03624e+07	3.74947e+07	3.61594e+07	3.68046e+07	9.75987e+07	4.93021e+07	3.88159e+07	3.50843e+07	3.36816e+07	4.07636e+07	3.72249e+07	3.85024e+07	4.10808e+07	3.96342e+07	3.82866e+07	3.84879e+07
P50150	GBG4_HUMAN	GNG4	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-4	3	3	481310	673054	257753	266866	442495	610927	448820	441300	544105	319216	629038	392793	539706		502678	620088	572587	690347	614683	824195	317290	481994	477882	290709	359169	375579	414846	943618	793348	388279	397932	506549	370363	388277	359808	383897	653030	1.17684e+06	379137
P50213	IDH3A_HUMAN	IDH3A	Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial	14	14	5.54888e+06	5.9216e+06	4.08632e+06	5.14182e+06	5.80729e+06	6.1807e+06	6.44213e+06	6.58384e+06	5.90186e+06	4.97533e+06	6.20965e+06	5.73817e+06	6.8311e+06	6.89268e+06	5.87518e+06	6.81333e+06	6.44831e+06	6.17258e+06	6.3975e+06	7.36861e+06	6.48487e+06	6.29164e+06	6.76296e+06	6.31568e+06	5.88742e+06	5.73776e+06	6.6763e+06	4.89736e+06	7.41273e+06	6.46589e+06	6.52377e+06	5.81282e+06	7.18022e+06	6.75766e+06	6.3033e+06	6.64852e+06	6.65681e+06	1.26038e+07	6.1759e+06
P50225	ST1A1_HUMAN	SULT1A1	Sulfotransferase 1A1	5	1	3.30557e+06	1.29072e+06	2.74885e+06	1.51928e+06	1.988e+06	1.06765e+06	1.64195e+06	1.50561e+06	1.77768e+06	2.81403e+06	1.94656e+06	3.42721e+06	2.05948e+06		2.29329e+06	1.2326e+06	991137	1.77244e+06	1.14482e+06							984159					977808	951797					1.06208e+06	1.25251e+06	
P50238	CRIP1_HUMAN	CRIP1	Cysteine-rich protein 1	1	1								141287																	1.03589e+06														
P50281	MMP14_HUMAN	MMP14	Matrix metalloproteinase-14	7	7	1.34978e+06	1.27134e+06	1.82031e+06	1.83928e+06	611543	828960	687517	734572	957020	1.12599e+06	901150	1.62522e+06	952727	652116	969734	705960	498072	559674	771364	589735	324419	218984	156442	226564	277397	265397	136700		253942	217599	202401	189531			191593	201983	93186	200253	345532
P50336	PPOX_HUMAN	PPOX	Protoporphyrinogen oxidase	19	19	1.99362e+06	1.90082e+06	1.52771e+06	1.86883e+06	1.85261e+06	2.16947e+06	2.15937e+06	2.38147e+06	2.70487e+06	2.06033e+06	1.99591e+06	1.89882e+06	2.26519e+06		2.422e+06	2.4182e+06	2.42447e+06	2.28146e+06	1.96726e+06	2.44216e+06	2.08978e+06	2.09803e+06	2.12194e+06	1.87927e+06	2.18178e+06	2.07475e+06	2.03128e+06	2.06132e+06	2.92513e+06	2.14519e+06	2.1352e+06	1.78553e+06	2.00203e+06	2.16724e+06	2.00148e+06	2.01449e+06	2.2492e+06	3.63067e+06	1.94439e+06
P50395	GDIB_HUMAN	GDI2	Rab GDP dissociation inhibitor beta	32	22	1.10086e+08	1.31961e+08	7.33445e+07	9.60595e+07	1.31449e+08	1.35021e+08	1.25894e+08	1.30576e+08	1.26872e+08	9.83823e+07	1.3427e+08	9.96136e+07	1.29944e+08	2.79366e+08	1.32575e+08	1.43399e+08	1.4118e+08	1.27579e+08	1.33352e+08	1.52373e+08	1.47979e+08	1.33233e+08	1.26942e+08	1.64708e+08	1.35572e+08	1.25479e+08	1.15563e+08	3.6283e+08	1.85018e+08	1.34357e+08	1.33379e+08	1.16721e+08	1.26e+08	1.36457e+08	1.30588e+08	1.37353e+08	1.43591e+08	1.70589e+08	1.41834e+08
P50402	EMD_HUMAN	EMD	Emerin	14	14	5.35945e+06	5.81534e+06	4.10937e+06	5.65181e+06	5.2332e+06	5.80626e+06	5.83576e+06	4.87968e+06	5.36467e+06	4.88766e+06	5.14785e+06	5.44521e+06	5.4904e+06	5.46232e+06	5.26997e+06	5.91632e+06	5.4422e+06	4.9566e+06	5.4034e+06	6.08522e+06	4.82473e+06	4.75447e+06	4.72259e+06	5.16311e+06	4.64828e+06	4.74631e+06	4.21842e+06	3.30593e+06	4.94086e+06	5.03876e+06	4.71444e+06	4.40204e+06	4.33682e+06	4.05593e+06	5.22746e+06	5.1279e+06	5.36478e+06	5.91093e+06	5.70161e+06
P50416	CPT1A_HUMAN	CPT1A	Carnitine O-palmitoyltransferase 1, liver isoform	21	20	2.45407e+06	2.16291e+06	2.88834e+06	2.76261e+06	1.5997e+06	1.82294e+06	1.81086e+06	1.77011e+06	2.14809e+06	2.3535e+06	1.80027e+06	2.7156e+06	1.85554e+06		1.90909e+06	1.69506e+06	1.48072e+06	1.47957e+06	2.07084e+06	1.39151e+06	793016	677588	649688	918345	612920	817109	594572	815540	450722	337543	570651	439817	301283	400348	435425	349211	513020	548774	755479
P50440	GATM_HUMAN	GATM	Glycine amidinotransferase, mitochondrial	12	12	1.27355e+07	1.41021e+07	1.15049e+07	9.21197e+06	1.3629e+07	9.7629e+06	9.07203e+06	1.28116e+07	1.16308e+07	1.12816e+07	9.32728e+06	1.7422e+07	1.20285e+07	7.65131e+06	1.44929e+07	7.29761e+06	5.48822e+06	5.50236e+06	8.55218e+06	7.18741e+06	4.21045e+06	6.62255e+06	3.57313e+06	4.8652e+06	2.50171e+06	4.56374e+06	3.54713e+06	5.44079e+06	2.2358e+06	2.11668e+06	2.98021e+06	2.67802e+06	2.08493e+06	2.93882e+06	3.24599e+06	1.70338e+06	4.44959e+06	2.28971e+06	6.55815e+06
P50443	S26A2_HUMAN	SLC26A2	Sulfate transporter	3	3	79826.6	59330.5	143030	136956	61835.6	64508.4	63280.5		69738.3	74404.1		141575	90957.7		67028.9	74619.5	48744.8	67959.3	82804.9	60434.6	110018	104859	130651	103490	81498.5	104438	144636	326713	48163	144306	99798.5	87062.6	99449	102180	86931.1	104672	62550.6	66675	90433.1
P50452	SPB8_HUMAN	SERPINB8	Serpin B8	11	11	712026	451940	769048	633693	303278	426856	383783	431867	471421	692232	346694	585768	355027		415151	408039	329921	333899	421225	319205	250348	275061	248528	253639	270872	220612	201498	404528	228658	219663	242001	251941	272194	289674	283323	262026	264221	278976	216709
P50453	SPB9_HUMAN	SERPINB9	Serpin B9	21	19	4.25529e+06	5.57923e+06	1.91991e+06	2.44787e+06	7.92324e+06	6.30564e+06	6.32059e+06	6.56104e+06	5.91774e+06	5.07326e+06	6.14125e+06	5.09271e+06	6.81076e+06	6.78737e+06	6.31045e+06	7.35209e+06	7.94003e+06	7.54867e+06	7.38254e+06	7.94635e+06	1.41346e+07	1.60339e+07	1.52769e+07	1.51764e+07	1.49868e+07	1.43484e+07	1.39354e+07	2.28519e+07	1.91241e+07	1.58642e+07	1.57909e+07	1.47157e+07	1.55483e+07	1.55375e+07	1.67757e+07	1.6749e+07	1.7326e+07	2.1574e+07	1.58214e+07
P50454	SERPH_HUMAN	SERPINH1	Serpin H1	19	19	5.57449e+07	4.49298e+07	7.95818e+07	7.18231e+07	2.18157e+07	2.81472e+07	3.08411e+07	2.78766e+07	3.95086e+07	7.06764e+07	2.70131e+07	6.65232e+07	3.43877e+07	2.282e+07	3.66154e+07	2.5795e+07	2.19363e+07	2.4658e+07	2.88637e+07	1.59986e+07	6.7143e+06	6.39552e+06	6.64761e+06	8.38744e+06	7.34628e+06	7.52978e+06	5.71982e+06	9.29984e+06	5.96398e+06	4.03283e+06	5.65102e+06	4.82136e+06	3.52172e+06	3.98862e+06	3.84096e+06	3.34027e+06	4.80457e+06	3.50381e+06	1.28999e+07
P50461	CSRP3_HUMAN	CSRP3	Cysteine and glycine-rich protein 3	1	1	362988		570657			204067	272960		261130		168660		280788			189461	139919	206743	288426				230242			121424	114013			155628						200319	119472		179893
P50479	PDLI4_HUMAN	PDLIM4	PDZ and LIM domain protein 4	14	14	7.44369e+06	5.89791e+06	8.03549e+06	8.85495e+06	1.75134e+06	3.18817e+06	2.43926e+06	3.00834e+06	3.69587e+06	6.67402e+06	2.45807e+06	7.03287e+06	2.79211e+06		2.97152e+06	2.51145e+06	1.71229e+06	1.55878e+06	3.53183e+06	1.1935e+06	783614	632332	559671	871785	565673	730459	523229		649307	510065	580445	464980	482162	372518	526001	376247	525973		1.06091e+06
P50502	F10A1_HUMAN	ST13	Hsc70-interacting protein	14	0	6.06261e+07	7.00904e+07	5.10888e+07	5.51513e+07	6.48335e+07	6.09524e+07	6.2369e+07	6.37905e+07	6.00078e+07	5.88567e+07	6.72381e+07	6.25115e+07	6.53823e+07	1.02545e+08	6.30527e+07	6.39787e+07	6.24405e+07	6.22377e+07	6.42316e+07	6.75592e+07	6.56685e+07	6.84069e+07	6.53583e+07	7.03896e+07	6.32062e+07	6.25803e+07	6.16773e+07	1.15846e+08	6.69557e+07	6.12434e+07	6.0916e+07	6.24458e+07	6.63824e+07	5.75671e+07	6.14643e+07	5.96451e+07	6.46022e+07	6.43165e+07	6.63079e+07
P50542	PEX5_HUMAN	PEX5	Peroxisomal targeting signal 1 receptor	19	19	1.72989e+06	1.72227e+06	1.41524e+06	1.18984e+06	1.63276e+06	1.77637e+06	1.83794e+06	1.52431e+06	1.72164e+06	1.59141e+06	1.85507e+06	1.6209e+06	1.96013e+06		1.76449e+06	1.94594e+06	1.90916e+06	1.99248e+06	1.59218e+06	1.79273e+06	1.71797e+06	1.62671e+06	1.55225e+06	1.62509e+06	1.48375e+06	1.53968e+06	1.33278e+06	2.50199e+06	1.57819e+06	1.7536e+06	1.58222e+06	1.28332e+06	1.61299e+06	1.42318e+06	1.67003e+06	1.7844e+06	1.73101e+06	1.70826e+06	1.65053e+06
P50548	ERF_HUMAN	ERF	ETS domain-containing transcription factor ERF	6	6	440985	337190	456459	339688	251124	217739	228860	250318	285666	383724	267322	479470	270927		369714	248714	218257	198511	317547	165008	252229	250755	247329	335770	207048	229488	249221		233878	178888	207635	197026	206087	178204	174612	167632	259061	230859	196278
P50552	VASP_HUMAN	VASP	Vasodilator-stimulated phosphoprotein	16	16	1.94276e+06	2.10806e+06	1.8823e+06	2.03569e+06	2.20475e+06	2.13251e+06	2.17951e+06	2.17811e+06	2.25404e+06	2.103e+06	2.02315e+06	2.35226e+06	2.04681e+06	2.60113e+06	2.11441e+06	2.14524e+06	2.15434e+06	2.10519e+06	2.27267e+06	2.04762e+06	2.28502e+06	2.4831e+06	2.29208e+06	2.1949e+06	2.39938e+06	2.63613e+06	2.44122e+06	6.63456e+06	2.40781e+06	2.2032e+06	2.27778e+06	2.14173e+06	2.55575e+06	2.17273e+06	2.36559e+06	2.36912e+06	2.53035e+06	2.30182e+06	2.63812e+06
P50570	DYN2_HUMAN	DNM2	Dynamin-2	33	24	1.9337e+07	2.20992e+07	1.64396e+07	1.91514e+07	2.03911e+07	2.07054e+07	2.0861e+07	2.05148e+07	2.03233e+07	2.00479e+07	2.13641e+07	2.05272e+07	2.08069e+07	2.5623e+07	2.13551e+07	2.13482e+07	2.07906e+07	2.08137e+07	2.22684e+07	2.28817e+07	2.64336e+07	2.4391e+07	2.6941e+07	2.57667e+07	2.36011e+07	2.45655e+07	2.37246e+07	6.54779e+07	2.61491e+07	2.47561e+07	2.31844e+07	2.53951e+07	2.86532e+07	2.24524e+07	2.38576e+07	2.45319e+07	2.38275e+07	2.66882e+07	2.1354e+07
P50579	MAP2_HUMAN	METAP2	Methionine aminopeptidase 2	19	19	1.3888e+07	1.38142e+07	1.18594e+07	1.55343e+07	1.44636e+07	1.42781e+07	1.45241e+07	1.47015e+07	1.45255e+07	1.41789e+07	1.4282e+07	1.47471e+07	1.39668e+07	9.89038e+06	1.38489e+07	1.42861e+07	1.37771e+07	1.37366e+07	1.4272e+07	1.37106e+07	1.2869e+07	1.28689e+07	1.20492e+07	1.39494e+07	1.25211e+07	1.22395e+07	1.08225e+07	9.92787e+06	1.01699e+07	1.13118e+07	1.16309e+07	1.10788e+07	1.32729e+07	1.08113e+07	1.21272e+07	1.17024e+07	1.20277e+07	1.01085e+07	1.22121e+07
P50583	AP4A_HUMAN	NUDT2	Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical]	8	8	3.45772e+06	4.03654e+06	2.53858e+06	3.33268e+06	3.71614e+06	3.53398e+06	3.75423e+06	4.33328e+06	4.34784e+06	3.1973e+06	3.74572e+06	3.334e+06	4.29066e+06	4.54804e+06	3.87182e+06	4.11978e+06	3.91416e+06	3.5219e+06	3.60537e+06	4.87346e+06	4.08903e+06	4.23605e+06	3.94906e+06	3.66188e+06	3.51371e+06	3.49497e+06	3.3666e+06	5.84263e+06	4.25466e+06	3.85298e+06	3.80262e+06	3.38308e+06	3.41873e+06	3.21836e+06	4.11212e+06	3.85811e+06	4.34953e+06	3.56049e+06	4.77254e+06
P50607	TUB_HUMAN	TUB	Tubby protein homolog	11	10	416819	469017	314233	420876	691314	546005	610422	707887	644184	350661	775112	522458	734016		687073	712577	724653	724370	712097	716791	561095	626181	612302	511522	506952	532807	546525	542564	352793	596725	562436	617551	568053	563072	477155	454198	533585	660181	443617
P50613	CDK7_HUMAN	CDK7	Cyclin-dependent kinase 7	10	10	1.11203e+06	948976	912859	975126	780338	850867	901039	696736	802944	770389	843791	953905	818679		763797	897840	774499	686056	769359	643437	820537	841565	665334	681344	837405	740053	723576		552639	659839	718899	703233	689252	678804	929895	605697	778582	666988	705056
P50747	BPL1_HUMAN	HLCS	Biotin--protein ligase	16	16	901870	755088	724942	777948	894668	1.03925e+06	956267	878439	913349	699892	879376	895348	935864	1.05614e+06	900977	900708	941733	943740	978546	921325	911138	958040	886560	843406	993923	948432	991019	1.30921e+06	1.16035e+06	1.02443e+06	869026	851724	858525	865101	979985	1.04805e+06	1.09287e+06	1.16097e+06	940237
P50748	KNTC1_HUMAN	KNTC1	Kinetochore-associated protein 1	31	31	460772	303934	473534	520489	180313	224580	228508	175694	282203	324133	217213	363599	219283		220492	241043	188717	207684	273592	204589	123244	125955		138710	125580	124568	92562.4	237548			78980.2				86509.2				112653
P50749	RASF2_HUMAN	RASSF2	Ras association domain-containing protein 2	12	10	1.59999e+06	1.5399e+06	1.6781e+06	1.33772e+06	1.203e+06	1.31661e+06	1.25144e+06	974738	1.45561e+06	1.44906e+06	1.37173e+06	1.70057e+06	1.45913e+06	864794	1.43421e+06	1.00888e+06	1.2096e+06	1.19279e+06	1.22296e+06	1.13239e+06	797978	686341	792327	800577	651835	600260	592551		558050	664474	716315	563895	647632	515801	537932	548480	657100	558748	586096
P50750	CDK9_HUMAN	CDK9	Cyclin-dependent kinase 9	10	10	1.41988e+06	1.41825e+06	1.22572e+06	1.45767e+06	1.36431e+06	1.36047e+06	1.30537e+06	1.40233e+06	1.44855e+06	1.53864e+06	1.36146e+06	1.38577e+06	1.399e+06		1.34117e+06	1.28694e+06	1.22221e+06	1.28352e+06	1.40978e+06	1.21882e+06	1.25637e+06	1.26627e+06	1.3497e+06	966041	1.2794e+06	1.18881e+06	1.20352e+06		636050	1.06546e+06	1.06921e+06	1.08809e+06	1.20581e+06	1.0276e+06	1.01098e+06	1.15813e+06	1.11002e+06	864084	1.17183e+06
P50851	LRBA_HUMAN	LRBA	Lipopolysaccharide-responsive and beige-like anchor protein	43	43	723763	628813	810246	772017	439014	523756	549827	414181	579549	624648	539934	688612	515654		518810	456241	387841	447405	481316	389090	317573	310644	292068	286889	316465	282743	298785	429979	280788	255508	307110	282910	294569	253721	253428	279043	312353	272713	317827
P50895	BCAM_HUMAN	BCAM	Basal cell adhesion molecule	18	18	2.20256e+06	2.99484e+06	1.56576e+06	2.36218e+06	4.58079e+06	3.55498e+06	4.2328e+06	2.92114e+06	2.9401e+06	2.52709e+06	3.87697e+06	2.95103e+06	3.64139e+06	5.3621e+06	3.3799e+06	4.897e+06	6.25059e+06	5.23284e+06	4.53006e+06	5.3733e+06	1.68413e+07	1.53429e+07	1.52966e+07	1.56535e+07	1.36503e+07	1.33321e+07	1.32666e+07	5.43273e+07	1.76508e+07	1.56138e+07	1.46211e+07	1.33431e+07	1.80489e+07	1.80112e+07	1.3965e+07	1.55e+07	1.42674e+07	1.45133e+07	1.16445e+07
P50897	PPT1_HUMAN	PPT1	Palmitoyl-protein thioesterase 1	9	9	9.17776e+06	8.98904e+06	7.94788e+06	8.67866e+06	9.30525e+06	1.05764e+07	9.94748e+06	8.4327e+06	1.15658e+07	8.30149e+06	8.81022e+06	1.01604e+07	1.02896e+07	1.15922e+07	1.05248e+07	8.62589e+06	9.56652e+06	8.92133e+06	8.67104e+06	9.53655e+06	8.0325e+06	8.31486e+06	7.95998e+06	6.90719e+06	1.09476e+07	1.14127e+07	1.07833e+07	8.23538e+06	1.35516e+07	9.69694e+06	9.62779e+06	8.64066e+06	9.90366e+06	9.50779e+06	1.08113e+07	1.01633e+07	1.21524e+07	1.12187e+07	8.81974e+06
P50914	RL14_HUMAN	RPL14	Large ribosomal subunit protein eL14	6	6	3.7961e+08	4.5213e+08	4.99694e+08	4.61491e+08	5.15093e+08	4.78676e+08	5.36949e+08	4.41582e+08	5.50773e+08	6.37137e+08	4.15932e+08	5.25019e+08	4.7415e+08	8.1187e+08	5.78286e+08	4.64174e+08	4.96128e+08	4.91267e+08	4.07121e+08	3.08781e+08	3.67755e+08	4.33242e+08	3.39141e+08	3.22601e+08	4.18632e+08	4.68427e+08	4.13995e+08	2.62162e+08	3.75107e+08	4.06772e+08	4.80702e+08	3.80726e+08	3.58941e+08	3.45606e+08	3.83271e+08	3.98539e+08	3.39483e+08	3.1161e+08	3.43364e+08
P50990	TCPQ_HUMAN	CCT8	T-complex protein 1 subunit theta	37	37	2.23607e+08	2.57929e+08	1.68618e+08	2.27087e+08	2.69075e+08	2.6257e+08	2.67496e+08	2.56725e+08	2.60976e+08	2.33577e+08	2.64112e+08	2.24599e+08	2.64062e+08	4.30184e+08	2.59311e+08	2.66123e+08	2.78406e+08	2.64056e+08	2.78401e+08	2.91425e+08	2.88505e+08	2.8908e+08	2.90856e+08	3.11968e+08	2.89947e+08	2.61902e+08	2.99342e+08	6.76183e+08	3.67962e+08	2.88398e+08	2.76674e+08	2.63764e+08	3.18168e+08	2.94688e+08	2.72523e+08	3.05211e+08	3.03387e+08	3.33546e+08	2.9626e+08
P50991	TCPD_HUMAN	CCT4	T-complex protein 1 subunit delta	30	30	4.41441e+07	5.09392e+07	3.53666e+07	4.74072e+07	5.51091e+07	4.98924e+07	5.28825e+07	4.93474e+07	4.80703e+07	4.62754e+07	5.17384e+07	4.7596e+07	5.00633e+07	9.66625e+07	5.10504e+07	5.01498e+07	5.16117e+07	4.90141e+07	5.5268e+07	5.48311e+07	6.03058e+07	6.1101e+07	6.41553e+07	6.56035e+07	5.96266e+07	5.58052e+07	6.09997e+07	1.12559e+08	6.7483e+07	5.88727e+07	5.6525e+07	5.65145e+07	6.9183e+07	6.031e+07	5.66432e+07	6.03734e+07	5.91013e+07	6.66199e+07	6.30648e+07
P50993	AT1A2_HUMAN	ATP1A2	Sodium/potassium-transporting ATPase subunit alpha-2	23	20	1.38781e+06	2.16285e+06	1.08451e+06	1.66267e+06	3.92938e+06	2.82828e+06	2.5591e+06	3.40011e+06	2.84543e+06	891944	4.28553e+06	2.26028e+06	3.1407e+06	817558	3.43475e+06	2.47566e+06	2.541e+06	3.18534e+06	2.80771e+06	3.37485e+06	1.69697e+06	1.10463e+06	920127	855468	693653	1.24916e+06	811022	1.23198e+06	413033	476614	810044	494266	342746	566640	485591	357202	514128		903020
P50995	ANX11_HUMAN	ANXA11	Annexin A11	16	16	2.69271e+06	2.12274e+06	2.94063e+06	2.7323e+06	959318	1.30244e+06	1.29526e+06	1.1405e+06	1.67775e+06	3.05854e+06	1.18927e+06	3.09136e+06	1.26702e+06		1.37961e+06	1.09924e+06	889964	1.15055e+06	1.52591e+06	698634	477210	527571	552495	486828	589166	501892	574683	4.64435e+06	772376	470048	505711	458521	449186	480404	568630	561301	648461	1.26309e+06	799728
